year,context_type,n,tot_n,prop
2010-01-01,extends,5,1782,0.0028058361391694723
1982-01-01,similarities,5,1051,0.004757373929590866
1999-01-01,similarities,5,1186,0.0042158516020236085
1983-01-01,similarities,5,770,0.006493506493506494
1971-01-01,similarities,5,354,0.014124293785310734
1972-01-01,uses,5,455,0.01098901098901099
1971-01-01,differences,5,354,0.014124293785310734
2009-01-01,future_work,5,1782,0.0028058361391694723
1965-01-01,similarities,4,270,0.014814814814814815
1966-01-01,uses,4,423,0.009456264775413711
2013-01-01,extends,4,1841,0.0021727322107550242
1972-01-01,differences,4,455,0.008791208791208791
1989-01-01,future_work,4,409,0.009779951100244499
2022-01-01,similarities,4,76,0.05263157894736842
2012-01-01,future_work,4,2050,0.001951219512195122
1984-01-01,differences,4,404,0.009900990099009901
2000-01-01,uses,3,574,0.005226480836236934
1983-01-01,extends,3,770,0.003896103896103896
1979-01-01,extends,3,1227,0.0024449877750611247
1967-01-01,similarities,3,312,0.009615384615384616
2018-01-01,future_work,3,1028,0.0029182879377431907
2006-01-01,extends,3,1047,0.0028653295128939827
1987-01-01,uses,3,147,0.02040816326530612
2022-01-01,differences,3,76,0.039473684210526314
2004-01-01,extends,3,1375,0.002181818181818182
1964-01-01,differences,3,144,0.020833333333333332
1969-01-01,similarities,3,414,0.007246376811594203
2007-01-01,extends,3,1571,0.0019096117122851686
1983-01-01,future_work,3,770,0.003896103896103896
1971-01-01,uses,3,354,0.00847457627118644
1986-01-01,uses,3,1601,0.0018738288569643974
2013-01-01,future_work,3,1841,0.0016295491580662683
2003-01-01,similarities,2,801,0.0024968789013732834
1989-01-01,extends,2,409,0.004889975550122249
1994-01-01,extends,2,5983,0.00033428046130703663
1966-01-01,similarities,2,423,0.004728132387706856
2006-01-01,future_work,2,1047,0.0019102196752626551
2000-01-01,future_work,2,574,0.003484320557491289
2020-01-01,extends,2,773,0.00258732212160414
1995-01-01,differences,2,254,0.007874015748031496
1968-01-01,differences,2,224,0.008928571428571428
2001-01-01,extends,2,382,0.005235602094240838
1980-01-01,future_work,2,2309,0.0008661758336942399
2016-01-01,future_work,2,2809,0.000711997152011392
2011-01-01,extends,2,1386,0.001443001443001443
1987-01-01,differences,2,147,0.013605442176870748
1970-01-01,similarities,2,749,0.0026702269692923898
1977-01-01,future_work,2,2802,0.0007137758743754461
1968-01-01,similarities,2,224,0.008928571428571428
2022-01-01,future_work,2,76,0.02631578947368421
1964-01-01,similarities,2,144,0.013888888888888888
1996-01-01,similarities,2,198,0.010101010101010102
1989-01-01,similarities,1,409,0.0024449877750611247
1990-01-01,differences,1,54,0.018518518518518517
1992-01-01,differences,1,128,0.0078125
2020-01-01,similarities,1,773,0.00129366106080207
1965-01-01,uses,1,270,0.003703703703703704
1991-01-01,future_work,1,351,0.002849002849002849
2020-01-01,future_work,1,773,0.00129366106080207
1963-01-01,uses,1,21,0.047619047619047616
1993-01-01,future_work,1,578,0.0017301038062283738
1971-01-01,extends,1,354,0.002824858757062147
1966-01-01,extends,1,423,0.002364066193853428
1974-01-01,future_work,1,714,0.0014005602240896359
1979-01-01,future_work,1,1227,0.0008149959250203749
2005-01-01,similarities,1,449,0.0022271714922048997
1978-01-01,extends,1,1277,0.0007830853563038371
1982-01-01,extends,1,1051,0.0009514747859181732
